player,frame,ball_x,ball_y,ball_vx,ball_vy,self_px,opp_px,ball_served,serving_is_self,blocker_x,pred_landing_x,prev1_ball_vx,prev1_ball_vy,prev1_self_px,prev2_ball_vx,prev2_ball_vy,prev2_self_px,action,landing_dx,time_to_land,ball_speed_abs
2P,44,183,109,-7,-7,135,130,1,0,125,153.0,-7,-7,135,-7.0,-7.0,135.0,MOVE_LEFT,18.0,0.08333333333333333,9.899494936611665
1P,45,176,102,-7,-7,135,130,1,1,120,153.0,-7,-7,135,-7.0,-7.0,130.0,MOVE_RIGHT,18.0,0.06666666666666667,9.899494936611665
2P,45,176,102,-7,-7,130,135,1,0,120,153.0,-7,-7,130,-7.0,-7.0,135.0,MOVE_LEFT,23.0,0.06666666666666667,9.899494936611665
1P,46,169,95,-7,-7,140,125,1,1,115,153.0,-7,-7,140,-7.0,-7.0,135.0,MOVE_RIGHT,13.0,0.05,9.899494936611665
2P,46,169,95,-7,-7,125,140,1,0,115,153.0,-7,-7,125,-7.0,-7.0,130.0,MOVE_LEFT,28.0,0.05,9.899494936611665
1P,47,162,88,-7,-7,145,120,1,1,110,153.0,-7,-7,145,-7.0,-7.0,140.0,MOVE_RIGHT,8.0,0.03333333333333333,9.899494936611665
2P,47,162,88,-7,-7,120,145,1,0,110,153.0,-7,-7,120,-7.0,-7.0,125.0,MOVE_RIGHT,33.0,0.03333333333333333,9.899494936611665
1P,48,155,81,-7,-7,150,125,1,1,105,153.0,-7,-7,150,-7.0,-7.0,145.0,NONE,3.0,0.016666666666666666,9.899494936611665
2P,48,155,81,-7,-7,125,150,1,0,105,153.0,-7,-7,125,-7.0,-7.0,120.0,MOVE_LEFT,28.0,0.016666666666666666,9.899494936611665
1P,49,148,80,-10,7,150,120,1,1,100,55.0,-10,7,150,-7.0,-7.0,150.0,NONE,-95.0,0.8,12.206555615733702
2P,49,148,80,-10,7,120,150,1,0,100,55.0,-10,7,120,-7.0,-7.0,125.0,MOVE_LEFT,-65.0,0.8,12.206555615733702
1P,50,138,87,-10,7,150,115,1,1,95,155.0,-10,7,150,-10.0,7.0,150.0,MOVE_LEFT,5.0,0.7833333333333333,12.206555615733702
2P,50,138,87,-10,7,115,150,1,0,95,155.0,-10,7,115,-10.0,7.0,120.0,MOVE_LEFT,40.0,0.7833333333333333,12.206555615733702
1P,51,128,94,-10,7,145,110,1,1,90,55.0,-10,7,145,-10.0,7.0,150.0,MOVE_LEFT,-90.0,0.7666666666666667,12.206555615733702
2P,51,128,94,-10,7,110,145,1,0,90,55.0,-10,7,110,-10.0,7.0,115.0,MOVE_LEFT,-55.0,0.7666666666666667,12.206555615733702
1P,52,118,101,-10,7,140,105,1,1,85,175.0,-10,7,140,-10.0,7.0,145.0,MOVE_LEFT,35.0,0.75,12.206555615733702
2P,52,118,101,-10,7,105,140,1,0,85,175.0,-10,7,105,-10.0,7.0,110.0,MOVE_LEFT,70.0,0.75,12.206555615733702
1P,53,108,108,-10,7,135,100,1,1,80,55.0,-10,7,135,-10.0,7.0,140.0,MOVE_LEFT,-80.0,0.7333333333333333,12.206555615733702
2P,53,108,108,-10,7,100,135,1,0,80,55.0,-10,7,100,-10.0,7.0,105.0,MOVE_LEFT,-45.0,0.7333333333333333,12.206555615733702
1P,54,98,115,-10,7,130,95,1,1,75,195.0,-10,7,130,-10.0,7.0,135.0,MOVE_RIGHT,65.0,0.7166666666666667,12.206555615733702
2P,54,98,115,-10,7,95,130,1,0,75,195.0,-10,7,95,-10.0,7.0,100.0,MOVE_LEFT,100.0,0.7166666666666667,12.206555615733702
1P,55,88,122,-10,7,135,90,1,1,70,95.0,-10,7,135,-10.0,7.0,130.0,MOVE_LEFT,-40.0,0.6333333333333333,12.206555615733702
2P,55,88,122,-10,7,90,135,1,0,70,95.0,-10,7,90,-10.0,7.0,95.0,MOVE_LEFT,5.0,0.6333333333333333,12.206555615733702
1P,56,78,129,-10,7,130,85,1,1,65,95.0,-10,7,130,-10.0,7.0,135.0,MOVE_LEFT,-35.0,0.6166666666666667,12.206555615733702
2P,56,78,129,-10,7,85,130,1,0,65,95.0,-10,7,85,-10.0,7.0,90.0,MOVE_LEFT,10.0,0.6166666666666667,12.206555615733702
1P,57,68,136,-10,7,125,80,1,1,60,95.0,-10,7,125,-10.0,7.0,130.0,MOVE_LEFT,-30.0,0.6,12.206555615733702
2P,57,68,136,-10,7,80,125,1,0,60,95.0,-10,7,80,-10.0,7.0,85.0,MOVE_LEFT,15.0,0.6,12.206555615733702
1P,58,58,143,-10,7,120,75,1,1,55,95.0,-10,7,120,-10.0,7.0,125.0,MOVE_LEFT,-25.0,0.5833333333333334,12.206555615733702
2P,58,58,143,-10,7,75,120,1,0,55,95.0,-10,7,75,-10.0,7.0,80.0,MOVE_LEFT,20.0,0.5833333333333334,12.206555615733702
1P,59,48,150,-10,7,115,70,1,1,50,95.0,-10,7,115,-10.0,7.0,120.0,MOVE_LEFT,-20.0,0.5666666666666667,12.206555615733702
2P,59,48,150,-10,7,70,115,1,0,50,95.0,-10,7,70,-10.0,7.0,75.0,MOVE_LEFT,25.0,0.5666666666666667,12.206555615733702
1P,60,38,157,-10,7,110,65,1,1,45,95.0,-10,7,110,-10.0,7.0,115.0,MOVE_LEFT,-15.0,0.55,12.206555615733702
2P,60,38,157,-10,7,65,110,1,0,45,95.0,-10,7,65,-10.0,7.0,70.0,MOVE_LEFT,30.0,0.55,12.206555615733702
1P,61,28,164,-10,7,105,60,1,1,40,55.0,-10,7,105,-10.0,7.0,110.0,MOVE_LEFT,-50.0,0.6,12.206555615733702
2P,61,28,164,-10,7,60,105,1,0,40,55.0,-10,7,60,-10.0,7.0,65.0,MOVE_LEFT,-5.0,0.6,12.206555615733702
1P,62,18,171,-10,7,100,55,1,1,35,55.0,-10,7,100,-10.0,7.0,105.0,MOVE_LEFT,-45.0,0.5833333333333334,12.206555615733702
2P,62,18,171,-10,7,55,100,1,0,35,55.0,-10,7,55,-10.0,7.0,60.0,MOVE_LEFT,0.0,0.5833333333333334,12.206555615733702
1P,63,8,178,-10,7,95,50,1,1,30,55.0,-10,7,95,-10.0,7.0,100.0,MOVE_LEFT,-40.0,0.5666666666666667,12.206555615733702
2P,63,8,178,-10,7,50,95,1,0,30,55.0,-10,7,50,-10.0,7.0,55.0,MOVE_LEFT,5.0,0.5666666666666667,12.206555615733702
1P,64,0,185,10,7,90,45,1,1,25,55.0,10,7,90,-10.0,7.0,95.0,MOVE_LEFT,-35.0,0.55,12.206555615733702
2P,64,0,185,10,7,45,90,1,0,25,55.0,10,7,45,-10.0,7.0,50.0,MOVE_RIGHT,10.0,0.55,12.206555615733702
1P,65,10,192,10,7,85,50,1,1,20,55.0,10,7,85,10.0,7.0,90.0,MOVE_LEFT,-30.0,0.5333333333333333,12.206555615733702
2P,65,10,192,10,7,50,85,1,0,20,55.0,10,7,50,10.0,7.0,45.0,MOVE_RIGHT,5.0,0.5333333333333333,12.206555615733702
1P,66,20,199,10,7,80,55,1,1,15,55.0,10,7,80,10.0,7.0,85.0,MOVE_LEFT,-25.0,0.5166666666666667,12.206555615733702
2P,66,20,199,10,7,55,80,1,0,15,55.0,10,7,55,10.0,7.0,50.0,MOVE_RIGHT,0.0,0.5166666666666667,12.206555615733702
1P,67,30,206,10,7,75,60,1,1,10,55.0,10,7,75,10.0,7.0,80.0,MOVE_LEFT,-20.0,0.5,12.206555615733702
2P,67,30,206,10,7,60,75,1,0,10,55.0,10,7,60,10.0,7.0,55.0,NONE,-5.0,0.5,12.206555615733702
1P,68,40,213,10,7,70,60,1,1,5,55.0,10,7,70,10.0,7.0,75.0,MOVE_LEFT,-15.0,0.48333333333333334,12.206555615733702
2P,68,40,213,10,7,60,70,1,0,5,55.0,10,7,60,10.0,7.0,60.0,MOVE_RIGHT,-5.0,0.48333333333333334,12.206555615733702
