player,frame,ball_x,ball_y,ball_vx,ball_vy,self_px,opp_px,ball_served,serving_is_self,blocker_x,pred_landing_x,prev1_ball_vx,prev1_ball_vy,prev1_self_px,prev2_ball_vx,prev2_ball_vy,prev2_self_px,action
1P,54,14,115,-10,7,75,45,1,1,75,35.0,-10,7,75,-10,7,80,MOVE_LEFT
2P,54,14,115,-10,7,45,75,1,0,75,35.0,-10,7,45,-10,7,50,MOVE_LEFT
1P,55,4,122,-10,7,70,40,1,1,70,35.0,-10,7,70,-10,7,75,MOVE_LEFT
2P,55,4,122,-10,7,40,70,1,0,70,35.0,-10,7,40,-10,7,45,MOVE_LEFT
1P,56,0,129,10,7,65,35,1,1,65,35.0,10,7,65,-10,7,70,MOVE_LEFT
2P,56,0,129,10,7,35,65,1,0,65,35.0,10,7,35,-10,7,40,MOVE_RIGHT
1P,57,10,136,10,7,60,40,1,1,60,35.0,10,7,60,10,7,65,MOVE_LEFT
2P,57,10,136,10,7,40,60,1,0,60,35.0,10,7,40,10,7,35,MOVE_RIGHT
1P,58,20,143,10,7,55,45,1,1,55,35.0,10,7,55,10,7,60,MOVE_LEFT
2P,58,20,143,10,7,45,55,1,0,55,35.0,10,7,45,10,7,40,MOVE_RIGHT
1P,59,30,150,10,7,50,50,1,1,50,35.0,10,7,50,10,7,55,MOVE_LEFT
2P,59,30,150,10,7,50,50,1,0,50,35.0,10,7,50,10,7,45,MOVE_RIGHT
1P,60,40,157,10,7,45,55,1,1,45,35.0,10,7,45,10,7,50,NONE
2P,60,40,157,10,7,55,45,1,0,45,35.0,10,7,55,10,7,50,MOVE_LEFT
1P,61,50,164,10,7,45,50,1,1,40,35.0,10,7,45,10,7,45,NONE
2P,61,50,164,10,7,50,45,1,0,40,35.0,10,7,50,10,7,55,MOVE_RIGHT
1P,62,60,171,10,7,45,55,1,1,35,35.0,10,7,45,10,7,45,MOVE_RIGHT
2P,62,60,171,10,7,55,45,1,0,35,35.0,10,7,55,10,7,50,MOVE_RIGHT
1P,63,70,178,10,7,50,60,1,1,30,35.0,10,7,50,10,7,45,MOVE_RIGHT
2P,63,70,178,10,7,60,50,1,0,30,35.0,10,7,60,10,7,55,MOVE_RIGHT
1P,64,80,185,10,7,55,65,1,1,25,35.0,10,7,55,10,7,50,MOVE_RIGHT
2P,64,80,185,10,7,65,55,1,0,25,35.0,10,7,65,10,7,60,MOVE_RIGHT
1P,65,90,192,10,7,60,70,1,1,20,35.0,10,7,60,10,7,55,MOVE_RIGHT
2P,65,90,192,10,7,70,60,1,0,20,35.0,10,7,70,10,7,65,MOVE_RIGHT
1P,66,100,199,10,7,65,75,1,1,15,35.0,10,7,65,10,7,60,MOVE_RIGHT
2P,66,100,199,10,7,75,65,1,0,15,35.0,10,7,75,10,7,70,MOVE_RIGHT
1P,67,110,206,10,7,70,80,1,1,10,35.0,10,7,70,10,7,65,MOVE_RIGHT
2P,67,110,206,10,7,80,70,1,0,10,35.0,10,7,80,10,7,75,MOVE_RIGHT
1P,68,120,213,10,7,75,85,1,1,5,35.0,10,7,75,10,7,70,MOVE_RIGHT
2P,68,120,213,10,7,85,75,1,0,5,35.0,10,7,85,10,7,80,MOVE_RIGHT
1P,69,130,220,10,7,80,90,1,1,0,35.0,10,7,80,10,7,75,MOVE_RIGHT
2P,69,130,220,10,7,90,80,1,0,0,35.0,10,7,90,10,7,85,MOVE_RIGHT
1P,70,140,227,10,7,85,95,1,1,5,35.0,10,7,85,10,7,80,MOVE_RIGHT
2P,70,140,227,10,7,95,85,1,0,5,35.0,10,7,95,10,7,90,MOVE_RIGHT
1P,71,150,234,10,7,90,100,1,1,10,35.0,10,7,90,10,7,85,MOVE_RIGHT
2P,71,150,234,10,7,100,90,1,0,10,35.0,10,7,100,10,7,95,MOVE_RIGHT
1P,72,160,241,10,7,95,105,1,1,15,35.0,10,7,95,10,7,90,MOVE_RIGHT
2P,72,160,241,10,7,105,95,1,0,15,35.0,10,7,105,10,7,100,MOVE_RIGHT
1P,73,170,248,10,7,100,110,1,1,20,35.0,10,7,100,10,7,95,MOVE_RIGHT
2P,73,170,248,10,7,110,100,1,0,20,35.0,10,7,110,10,7,105,MOVE_RIGHT
1P,74,180,255,10,7,105,115,1,1,25,35.0,10,7,105,10,7,100,MOVE_RIGHT
2P,74,180,255,10,7,115,105,1,0,25,35.0,10,7,115,10,7,110,MOVE_RIGHT
1P,75,190,262,-10,7,110,120,1,1,30,35.0,-10,7,110,10,7,105,MOVE_RIGHT
2P,75,190,262,-10,7,120,110,1,0,30,35.0,-10,7,120,10,7,115,MOVE_LEFT
1P,76,180,269,-10,7,115,115,1,1,35,35.0,-10,7,115,-10,7,110,MOVE_RIGHT
2P,76,180,269,-10,7,115,115,1,0,35,35.0,-10,7,115,-10,7,120,MOVE_LEFT
1P,77,170,276,-10,7,120,110,1,1,40,35.0,-10,7,120,-10,7,115,MOVE_RIGHT
2P,77,170,276,-10,7,110,120,1,0,40,35.0,-10,7,110,-10,7,115,NONE
1P,78,160,283,-10,7,125,110,1,1,45,35.0,-10,7,125,-10,7,120,MOVE_RIGHT
2P,78,160,283,-10,7,110,125,1,0,45,35.0,-10,7,110,-10,7,110,MOVE_LEFT
1P,79,150,290,-10,7,130,105,1,1,50,35.0,-10,7,130,-10,7,125,MOVE_RIGHT
2P,79,150,290,-10,7,105,130,1,0,50,35.0,-10,7,105,-10,7,110,MOVE_LEFT
1P,80,140,297,-10,7,135,100,1,1,55,35.0,-10,7,135,-10,7,130,NONE
2P,80,140,297,-10,7,100,135,1,0,55,35.0,-10,7,100,-10,7,105,MOVE_LEFT
1P,81,130,304,-10,7,135,95,1,1,60,35.0,-10,7,135,-10,7,135,NONE
2P,81,130,304,-10,7,95,135,1,0,60,35.0,-10,7,95,-10,7,100,MOVE_LEFT
1P,82,120,311,-10,7,135,90,1,1,65,35.0,-10,7,135,-10,7,135,MOVE_LEFT
2P,82,120,311,-10,7,90,135,1,0,65,35.0,-10,7,90,-10,7,95,MOVE_LEFT
1P,83,110,318,-10,7,130,85,1,1,70,35.0,-10,7,130,-10,7,135,MOVE_RIGHT
2P,83,110,318,-10,7,85,130,1,0,70,35.0,-10,7,85,-10,7,90,MOVE_LEFT
1P,84,100,325,-10,7,135,80,1,1,75,35.0,-10,7,135,-10,7,130,MOVE_LEFT
2P,84,100,325,-10,7,80,135,1,0,75,35.0,-10,7,80,-10,7,85,MOVE_LEFT
1P,85,90,332,-10,7,130,75,1,1,80,35.0,-10,7,130,-10,7,135,MOVE_LEFT
2P,85,90,332,-10,7,75,130,1,0,80,35.0,-10,7,75,-10,7,80,MOVE_LEFT
1P,86,80,339,-10,7,125,70,1,1,85,35.0,-10,7,125,-10,7,130,MOVE_LEFT
2P,86,80,339,-10,7,70,125,1,0,85,35.0,-10,7,70,-10,7,75,MOVE_LEFT
1P,87,70,346,-10,7,120,65,1,1,90,35.0,-10,7,120,-10,7,125,MOVE_LEFT
2P,87,70,346,-10,7,65,120,1,0,90,35.0,-10,7,65,-10,7,70,MOVE_LEFT
1P,88,60,353,-10,7,115,60,1,1,95,35.0,-10,7,115,-10,7,120,MOVE_LEFT
2P,88,60,353,-10,7,60,115,1,0,95,35.0,-10,7,60,-10,7,65,MOVE_LEFT
1P,89,50,360,-10,7,110,55,1,1,100,35.0,-10,7,110,-10,7,115,MOVE_LEFT
2P,89,50,360,-10,7,55,110,1,0,100,35.0,-10,7,55,-10,7,60,MOVE_LEFT
1P,90,40,367,-10,7,105,50,1,1,105,35.0,-10,7,105,-10,7,110,MOVE_LEFT
2P,90,40,367,-10,7,50,105,1,0,105,35.0,-10,7,50,-10,7,55,MOVE_LEFT
1P,91,30,374,-10,7,100,45,1,1,110,35.0,-10,7,100,-10,7,105,MOVE_LEFT
2P,91,30,374,-10,7,45,100,1,0,110,35.0,-10,7,45,-10,7,50,MOVE_LEFT
1P,92,20,381,-10,7,95,40,1,1,115,35.0,-10,7,95,-10,7,100,MOVE_LEFT
2P,92,20,381,-10,7,40,95,1,0,115,35.0,-10,7,40,-10,7,45,MOVE_LEFT
1P,93,10,388,-10,7,90,35,1,1,120,35.0,-10,7,90,-10,7,95,MOVE_LEFT
2P,93,10,388,-10,7,35,90,1,0,120,35.0,-10,7,35,-10,7,40,MOVE_LEFT
1P,94,0,395,10,7,85,30,1,1,125,35.0,10,7,85,-10,7,90,MOVE_LEFT
2P,94,0,395,10,7,30,85,1,0,125,35.0,10,7,30,-10,7,35,NONE
1P,95,10,402,10,7,80,30,1,1,130,35.0,10,7,80,10,7,85,MOVE_LEFT
2P,95,10,402,10,7,30,80,1,0,130,35.0,10,7,30,10,7,30,MOVE_RIGHT
1P,96,20,409,10,7,75,35,1,1,135,35.0,10,7,75,10,7,80,MOVE_LEFT
2P,96,20,409,10,7,35,75,1,0,135,35.0,10,7,35,10,7,30,MOVE_RIGHT
1P,97,30,416,10,7,70,40,1,1,140,35.0,10,7,70,10,7,75,MOVE_LEFT
2P,97,30,416,10,7,40,70,1,0,140,35.0,10,7,40,10,7,35,MOVE_RIGHT
1P,98,40,423,10,7,65,45,1,1,145,35.0,10,7,65,10,7,70,MOVE_LEFT
2P,98,40,423,10,7,45,65,1,0,145,35.0,10,7,45,10,7,40,MOVE_RIGHT
1P,99,50,430,-10,7,60,50,1,1,150,135.0,-10,7,60,10,7,65,MOVE_LEFT
2P,99,50,430,-10,7,50,60,1,0,150,135.0,-10,7,50,10,7,45,MOVE_LEFT
1P,0,95,80,0,0,80,80,0,0,-340,100.0,0,0,80,-10,7,60,MOVE_RIGHT
2P,0,95,80,0,0,80,80,0,1,-340,100.0,0,0,80,-10,7,50,SERVE_TO_LEFT
1P,1,95,80,-7,7,85,80,1,0,0,153.0,-7,7,85,0,0,80,MOVE_RIGHT
2P,1,95,80,-7,7,80,85,1,1,0,153.0,-7,7,80,0,0,80,MOVE_LEFT
1P,2,88,87,-7,7,90,75,1,0,0,153.0,-7,7,90,-7,7,85,NONE
2P,2,88,87,-7,7,75,90,1,1,0,153.0,-7,7,75,-7,7,80,MOVE_LEFT
1P,3,81,94,-7,7,90,70,1,0,5,153.0,-7,7,90,-7,7,90,NONE
2P,3,81,94,-7,7,70,90,1,1,5,153.0,-7,7,70,-7,7,75,MOVE_LEFT
1P,4,74,101,-7,7,90,65,1,0,10,153.0,-7,7,90,-7,7,90,MOVE_LEFT
2P,4,74,101,-7,7,65,90,1,1,10,153.0,-7,7,65,-7,7,70,MOVE_LEFT
1P,5,67,108,-7,7,85,60,1,0,15,153.0,-7,7,85,-7,7,90,MOVE_LEFT
2P,5,67,108,-7,7,60,85,1,1,15,153.0,-7,7,60,-7,7,65,NONE
1P,6,60,115,-7,7,80,60,1,0,20,153.0,-7,7,80,-7,7,85,MOVE_LEFT
2P,6,60,115,-7,7,60,80,1,1,20,153.0,-7,7,60,-7,7,60,MOVE_LEFT
1P,7,53,122,-7,7,75,55,1,0,25,153.0,-7,7,75,-7,7,80,MOVE_LEFT
2P,7,53,122,-7,7,55,75,1,1,25,153.0,-7,7,55,-7,7,60,MOVE_LEFT
1P,8,46,129,-7,7,70,50,1,0,30,181.0,-7,7,70,-7,7,75,MOVE_LEFT
2P,8,46,129,-7,7,50,70,1,1,30,181.0,-7,7,50,-7,7,55,MOVE_LEFT
1P,9,39,136,-7,7,65,45,1,0,35,181.0,-7,7,65,-7,7,70,MOVE_LEFT
2P,9,39,136,-7,7,45,65,1,1,35,181.0,-7,7,45,-7,7,50,MOVE_LEFT
1P,10,32,143,-7,7,60,40,1,0,40,181.0,-7,7,60,-7,7,65,MOVE_LEFT
2P,10,32,143,-7,7,40,60,1,1,40,181.0,-7,7,40,-7,7,45,MOVE_LEFT
1P,11,25,150,-7,7,55,35,1,0,45,181.0,-7,7,55,-7,7,60,MOVE_LEFT
2P,11,25,150,-7,7,35,55,1,1,45,181.0,-7,7,35,-7,7,40,MOVE_LEFT
1P,12,18,157,-7,7,50,30,1,0,50,181.0,-7,7,50,-7,7,55,MOVE_LEFT
2P,12,18,157,-7,7,30,50,1,1,50,181.0,-7,7,30,-7,7,35,NONE
1P,13,11,164,-7,7,45,30,1,0,55,181.0,-7,7,45,-7,7,50,MOVE_LEFT
2P,13,11,164,-7,7,30,45,1,1,55,181.0,-7,7,30,-7,7,30,MOVE_LEFT
1P,14,4,171,-7,7,40,25,1,0,60,181.0,-7,7,40,-7,7,45,MOVE_LEFT
2P,14,4,171,-7,7,25,40,1,1,60,181.0,-7,7,25,-7,7,30,MOVE_LEFT
1P,15,0,178,7,7,35,20,1,0,65,131.0,7,7,35,-7,7,40,NONE
2P,15,0,178,7,7,20,35,1,1,65,131.0,7,7,20,-7,7,25,MOVE_RIGHT
1P,16,7,185,7,7,35,25,1,0,70,117.0,7,7,35,7,7,35,MOVE_LEFT
2P,16,7,185,7,7,25,35,1,1,70,117.0,7,7,25,7,7,20,MOVE_RIGHT
1P,17,14,192,7,7,30,30,1,0,75,103.0,7,7,30,7,7,35,MOVE_LEFT
2P,17,14,192,7,7,30,30,1,1,75,103.0,7,7,30,7,7,25,MOVE_RIGHT
1P,18,21,199,7,7,25,35,1,0,80,153.0,7,7,25,7,7,30,NONE
2P,18,21,199,7,7,35,25,1,1,80,153.0,7,7,35,7,7,30,MOVE_RIGHT
1P,19,28,206,7,7,25,40,1,0,85,89.0,7,7,25,7,7,25,NONE
2P,19,28,206,7,7,40,25,1,1,85,89.0,7,7,40,7,7,35,MOVE_RIGHT
1P,20,35,213,7,7,25,45,1,0,90,153.0,7,7,25,7,7,25,NONE
2P,20,35,213,7,7,45,25,1,1,90,153.0,7,7,45,7,7,40,MOVE_RIGHT
1P,21,42,220,7,7,25,50,1,0,95,153.0,7,7,25,7,7,25,MOVE_RIGHT
2P,21,42,220,7,7,50,25,1,1,95,153.0,7,7,50,7,7,45,MOVE_RIGHT
1P,22,49,227,7,7,30,55,1,0,100,153.0,7,7,30,7,7,25,MOVE_RIGHT
2P,22,49,227,7,7,55,30,1,1,100,153.0,7,7,55,7,7,50,MOVE_RIGHT
1P,23,56,234,7,7,35,60,1,0,105,153.0,7,7,35,7,7,30,MOVE_RIGHT
2P,23,56,234,7,7,60,35,1,1,105,153.0,7,7,60,7,7,55,MOVE_RIGHT
1P,24,63,241,7,7,40,65,1,0,110,153.0,7,7,40,7,7,35,NONE
2P,24,63,241,7,7,65,40,1,1,110,153.0,7,7,65,7,7,60,MOVE_RIGHT
1P,25,70,248,7,7,40,70,1,0,115,153.0,7,7,40,7,7,40,MOVE_RIGHT
2P,25,70,248,7,7,70,40,1,1,115,153.0,7,7,70,7,7,65,MOVE_RIGHT
1P,26,77,255,7,7,45,75,1,0,120,153.0,7,7,45,7,7,40,MOVE_RIGHT
2P,26,77,255,7,7,75,45,1,1,120,153.0,7,7,75,7,7,70,MOVE_RIGHT
1P,27,84,262,7,7,50,80,1,0,125,153.0,7,7,50,7,7,45,MOVE_RIGHT
2P,27,84,262,7,7,80,50,1,1,125,153.0,7,7,80,7,7,75,MOVE_RIGHT
1P,28,91,269,7,7,55,85,1,0,130,153.0,7,7,55,7,7,50,MOVE_RIGHT
2P,28,91,269,7,7,85,55,1,1,130,153.0,7,7,85,7,7,80,MOVE_RIGHT
1P,29,98,276,7,7,60,90,1,0,135,153.0,7,7,60,7,7,55,MOVE_RIGHT
2P,29,98,276,7,7,90,60,1,1,135,153.0,7,7,90,7,7,85,MOVE_RIGHT
1P,30,105,283,7,7,65,95,1,0,140,153.0,7,7,65,7,7,60,MOVE_RIGHT
2P,30,105,283,7,7,95,65,1,1,140,153.0,7,7,95,7,7,90,MOVE_RIGHT
