player,frame,ball_x,ball_y,ball_vx,ball_vy,self_px,opp_px,ball_served,serving_is_self,blocker_x,pred_landing_x,prev1_ball_vx,prev1_ball_vy,prev1_self_px,prev2_ball_vx,prev2_ball_vy,prev2_self_px,action
1P,96,20,409,10,7,75,35,1,1,135,35.0,10,7,75,10,7,80,MOVE_LEFT
2P,96,20,409,10,7,35,75,1,0,135,35.0,10,7,35,10,7,30,MOVE_RIGHT
1P,97,30,416,10,7,70,40,1,1,140,35.0,10,7,70,10,7,75,MOVE_LEFT
2P,97,30,416,10,7,40,70,1,0,140,35.0,10,7,40,10,7,35,MOVE_RIGHT
1P,98,40,423,10,7,65,45,1,1,145,35.0,10,7,65,10,7,70,MOVE_LEFT
2P,98,40,423,10,7,45,65,1,0,145,35.0,10,7,45,10,7,40,MOVE_RIGHT
1P,99,50,430,-10,7,60,50,1,1,150,135.0,-10,7,60,10,7,65,MOVE_LEFT
2P,99,50,430,-10,7,50,60,1,0,150,135.0,-10,7,50,10,7,45,MOVE_LEFT
1P,1,95,80,-7,7,85,80,1,0,0,153.0,-7,7,85,0,0,80,MOVE_RIGHT
2P,1,95,80,-7,7,80,85,1,1,0,153.0,-7,7,80,0,0,80,MOVE_LEFT
1P,2,88,87,-7,7,90,75,1,0,5,153.0,-7,7,90,-7,7,85,NONE
2P,2,88,87,-7,7,75,90,1,1,5,153.0,-7,7,75,-7,7,80,MOVE_LEFT
1P,3,81,94,-7,7,90,70,1,0,10,153.0,-7,7,90,-7,7,90,MOVE_LEFT
2P,3,81,94,-7,7,70,90,1,1,10,153.0,-7,7,70,-7,7,75,MOVE_LEFT
1P,4,74,101,-7,7,85,65,1,0,15,153.0,-7,7,85,-7,7,90,MOVE_LEFT
2P,4,74,101,-7,7,65,85,1,1,15,153.0,-7,7,65,-7,7,70,MOVE_LEFT
1P,5,67,108,-7,7,80,60,1,0,20,153.0,-7,7,80,-7,7,85,MOVE_LEFT
2P,5,67,108,-7,7,60,80,1,1,20,153.0,-7,7,60,-7,7,65,MOVE_LEFT
1P,6,60,115,-7,7,75,55,1,0,25,153.0,-7,7,75,-7,7,80,MOVE_LEFT
2P,6,60,115,-7,7,55,75,1,1,25,153.0,-7,7,55,-7,7,60,MOVE_LEFT
1P,7,53,122,-7,7,70,50,1,0,30,181.0,-7,7,70,-7,7,75,MOVE_LEFT
2P,7,53,122,-7,7,50,70,1,1,30,181.0,-7,7,50,-7,7,55,MOVE_LEFT
1P,8,46,129,-7,7,65,45,1,0,35,181.0,-7,7,65,-7,7,70,MOVE_LEFT
2P,8,46,129,-7,7,45,65,1,1,35,181.0,-7,7,45,-7,7,50,MOVE_LEFT
1P,9,39,136,-7,7,60,40,1,0,40,181.0,-7,7,60,-7,7,65,MOVE_LEFT
2P,9,39,136,-7,7,40,60,1,1,40,181.0,-7,7,40,-7,7,45,MOVE_LEFT
1P,10,32,143,-7,7,55,35,1,0,45,181.0,-7,7,55,-7,7,60,MOVE_LEFT
2P,10,32,143,-7,7,35,55,1,1,45,181.0,-7,7,35,-7,7,40,MOVE_LEFT
